annot_name	trait1	trait2	rho	rho_corrected	se_rho	pvalue	pvalue_corrected	corr	corr_corrected	h2_1	h2_2	p	p0
ALL_	Evangelou2018sbp	covidhgi2020C2v5alleurLeaveUKBB	-7.53919340051e-4	-3.05204556461e-4	6.38124334329e-4	0.237419434909	0.632448197219	-0.0408152122871	-0.0165229728184	0.149983801087	0.00227489467073	1053993	1053993
ALL_	Evangelou2018pp	covidhgi2020A2v5alleur	-2.3629075042e-4	-4.06284847416e-4	5.13872492771e-4	0.645642771093	0.429157846799	-0.014301725234	-0.024590781671	0.125663764004	0.00217223355944	1041762	1041762
ALL_	Evangelou2018pp	covidhgi2020B2v5alleur	-1.31271067181e-4	-2.14339807329e-4	4.6887048904e-4	0.779498236474	0.647569881596	-0.00951860187135	-0.0155420027807	0.12558581881	0.00151443663128	1039357	1039357
ALL_	Evangelou2018pp	covidhgi2020C2v5alleur	-7.76910409508e-4	-0.00113672342723	5.0727259257e-4	0.125634945153	0.0250355836741	-0.0459453408094	-0.0672241543313	0.125951274372	0.00227015944034	1058838	1058838
ALL_	Evangelou2018pp	covidhgi2020A2v5alleurLeaveUKBB	-2.77578731049e-5	9.8765864221e-5	5.86108758253e-4	0.962226631807	0.866181168182	-0.00148121766136	0.0052703512935	0.125572811892	0.00279665561139	1040761	1040761
ALL_	Evangelou2018pp	covidhgi2020B2v5alleurLeaveUKBB	4.60033283286e-4	0.00158360026195	6.25176035417e-4	0.46182442488	0.0113075800018	0.0292591223754	0.100720438154	0.125396122336	0.00197138664535	1036233	1036233
ALL_	Evangelou2018pp	covidhgi2020C2v5alleurLeaveUKBB	-7.32450081847e-4	-6.97141697605e-4	5.63121699708e-4	0.193362568771	0.215718014238	-0.0432855668001	-0.0411989489369	0.125891471125	0.00227443504104	1054000	1054000
ALL_	Lee2018educ	covidhgi2020A2v5alleur	-0.00364248258054	-0.00404516955085	4.73942321004e-4	1.52403438892e-14	1.39971795561e-17	-0.231590424823	-0.257193415218	0.113507091345	0.00217936902162	1040507	1040507
ALL_	Lee2018educ	covidhgi2020B2v5alleur	-0.00374920096836	-0.00356526821649	4.26148552738e-4	1.39433351691e-18	5.9477508638e-17	-0.285961502175	-0.271932463329	0.113421479957	0.00151553856371	1038020	1038020
ALL_	Lee2018educ	covidhgi2020C2v5alleur	-0.00412367042116	-0.00376592352825	4.59587535135e-4	2.89737548039e-19	2.5239608071e-16	-0.256903774644	-0.234616220652	0.114122197515	0.00225765095636	1058379	1058379
