id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
WvgRvR	T2aGU2	covidhgi2020C2v6alleur	Ligthart2018crp	5e-8	TRUE	0.9850775942879971	0.0022346816431125464	0.0013419855535907288	0.10314241185504408
pJTgjY	CZNgQZ	covidhgi2020A2v6alleur	Wood2014height	5e-8	FALSE	0.9035718160671842	-0.0010554713315363761	0.003340191159368415	0.7521912257993102
JYbcJO	D1LBxR	covidhgi2020B2v6alleur	Wood2014height	5e-8	FALSE	0.897501565585417	-0.0030863772356484343	0.002118788990034172	0.14607419006477626
AciLWn	Op9WOb	covidhgi2020C2v6alleur	Wood2014height	5e-8	FALSE	0.8942210427436377	-6.583798393506751e-4	7.878466101491711e-4	0.40389023675521407
COKIdc	VRjEtF	covidhgi2020A2v6alleur	Betham2015lupus	5e-8	FALSE	0.928220048650225	-0.0018869129598223827	0.01483383892853225	0.8994168326094389
COKIdc	VRjEtF	covidhgi2020A2v6alleur	Betham2015lupus	5e-8	TRUE	0.9309815335538439	0.01073578009830969	0.009025465940848024	0.24162294009619456
7PE7MX	HtWX6T	covidhgi2020B2v6alleur	Betham2015lupus	5e-8	FALSE	0.9274647308918162	-0.00100502748176689	0.007788047554034486	0.8979668325838753
7PE7MX	HtWX6T	covidhgi2020B2v6alleur	Betham2015lupus	5e-8	TRUE	0.9289357653936101	0.004482464508268381	0.005891592340208133	0.451337999725718
tfKuVW	rBqgSI	covidhgi2020C2v6alleur	Betham2015lupus	5e-8	FALSE	0.9340291602058857	-5.284967524601185e-4	0.002027487866741032	0.7956550337861616
DP1JEY	Ac3eep	covidhgi2020A2v6alleur	Patsopoulos2019multscler	5e-8	FALSE	0.9313304130845184	-0.003942375193841865	0.005891698123171639	0.5056712497810738
DP1JEY	Ac3eep	covidhgi2020A2v6alleur	Patsopoulos2019multscler	5e-8	TRUE	0.9321995432860696	-0.0029936325290703942	0.005572851083956081	0.5929218365158262
oaW6en	q31O60	covidhgi2020B2v6alleur	Patsopoulos2019multscler	5e-8	FALSE	0.9329546702449187	2.7492914289642607e-4	0.003264370703261155	0.9331280408118326
bN6i2S	VcShVo	covidhgi2020C2v6alleur	Patsopoulos2019multscler	5e-8	FALSE	0.9305891574200597	0.0012122201176729625	0.001087873013481141	0.2690156400081682
joDf7q	XpNJpw	covidhgi2020A2v6alleur	Malik2018ais	5e-8	FALSE	0	0.09895068522762197	0.15919979097032166	0.5539320921748783
joDf7q	XpNJpw	covidhgi2020A2v6alleur	Malik2018ais	5e-8	TRUE	0	0.10008635724168272	0.08761755544862317	0.30505875642832864
2m60xP	w1XXx9	covidhgi2020B2v6alleur	Malik2018ais	5e-8	FALSE	0	7.291215047507426e-4	0.11510918113284337	0.9951228321149679
2m60xP	w1XXx9	covidhgi2020B2v6alleur	Malik2018ais	5e-8	TRUE	0	0.00140768497827641	0.0506468036526536	0.9789015673073183
xhandW	B9bwOd	covidhgi2020C2v6alleur	Malik2018ais	5e-8	FALSE	0	-0.007799402547742558	0.06665068792979693	0.9101316303317231
xhandW	B9bwOd	covidhgi2020C2v6alleur	Malik2018ais	5e-8	TRUE	0	-0.007211641830970712	0.013311313425426418	0.6112383087677992
gsFKJc	73ciL1	covidhgi2020A2v6alleur	Wuttke2019egfr	5e-8	FALSE	0.9039499069534008	6.181152195898692e-4	0.0044360134119737354	0.8893265788640903
a4l2jR	SaTINn	covidhgi2020B2v6alleur	Wuttke2019egfr	5e-8	FALSE	0.9028720541812741	-4.944136561516843e-4	0.002812110809735885	0.8606229478874035
m2QYzG	4NDUVM	covidhgi2020C2v6alleur	Wuttke2019egfr	5e-8	FALSE	0.9021761577722389	-0.0015740472177641221	0.0010423812075656728	0.1326662294603218
m2QYzG	4NDUVM	covidhgi2020C2v6alleur	Wuttke2019egfr	5e-8	TRUE	0.902969800688369	-0.00164007641632247	9.836862709031967e-4	0.09709835806529317
zd7f4x	juonjt	covidhgi2020A2v6alleur	Wuttke2019ckd	5e-8	FALSE	0.853285122806213	-0.010753390510148595	0.013116382272218887	0.42196840471142516
VqqMEt	15gwBs	covidhgi2020B2v6alleur	Wuttke2019ckd	5e-8	FALSE	0.8564596674795253	-0.006021397763442207	0.009418531011140869	0.5298738766858382
KNF04z	rNhfZ2	covidhgi2020C2v6alleur	Wuttke2019ckd	5e-8	FALSE	0.8604874291900143	0.0012864836690331923	0.0026592486095391304	0.6337986782976496
XQa1TU	e1nkmf	covidhgi2020A2v6alleur	Nikpay2015cad	5e-8	FALSE	0.9078134918019216	0.003502455418606468	0.013497356430885671	0.796694118916667
XQa1TU	e1nkmf	covidhgi2020A2v6alleur	Nikpay2015cad	5e-8	TRUE	0.9101251279919418	-0.0019427334938258707	0.010150428000154608	0.8492921419019831
bZWwJa	OvIoLm	covidhgi2020B2v6alleur	Nikpay2015cad	5e-8	FALSE	0.9072829761455317	0.0019792154481018073	0.008570363077338154	0.8186358833782938
bZWwJa	OvIoLm	covidhgi2020B2v6alleur	Nikpay2015cad	5e-8	TRUE	0.9096893970573201	-0.002217408171757502	0.0056956154843308664	0.6993341220073139
gJhBYv	K839uu	covidhgi2020C2v6alleur	Nikpay2015cad	5e-8	FALSE	0.9060269278206563	0.0024620165693774354	0.0051245237394884485	0.6337444163185773
gJhBYv	K839uu	covidhgi2020C2v6alleur	Nikpay2015cad	5e-8	TRUE	0.9084800438024858	-3.402654826376997e-4	0.002348229344021688	0.8855956874314758
uloUHb	x4MmTx	covidhgi2020A2v6alleur	Shah2020heartfailure	5e-8	FALSE	0.3629903195856316	0.01659446443038265	0.056777514498023894	0.7775153091568606
uloUHb	x4MmTx	covidhgi2020A2v6alleur	Shah2020heartfailure	5e-8	TRUE	0	-0.03933735776119951	0.037239986896142996	0.33148643250710713
QDu2qo	8Qo0i5	covidhgi2020B2v6alleur	Shah2020heartfailure	5e-8	FALSE	0.14364127136245644	0.02057071326638535	0.03585455081641642	0.5819187988028627
QDu2qo	8Qo0i5	covidhgi2020B2v6alleur	Shah2020heartfailure	5e-8	TRUE	0.22197173353960603	0.0013658385083293067	0.014420067419785508	0.9271932257951746
DkioQc	H0YS65	covidhgi2020C2v6alleur	Shah2020heartfailure	5e-8	FALSE	0	0.0032843206736189773	0.023773520594101014	0.8935356240503978
DkioQc	H0YS65	covidhgi2020C2v6alleur	Shah2020heartfailure	5e-8	TRUE	0.2701502150601884	-0.011618018901955967	0.005432731921427204	0.0854770129228515
hVDukk	GUFJAA	covidhgi2020A2v6alleur	Olafsdottir2020asthma	5e-8	FALSE	0.8965727210255611	-0.004958800075971367	0.00815692858280021	0.5449173597061515
zhHG9G	HVWM6r	covidhgi2020B2v6alleur	Olafsdottir2020asthma	5e-8	FALSE	0.882678584713604	-0.006698687270870073	0.005030004996943042	0.1865895118981683
99ZphP	CqjFKr	covidhgi2020C2v6alleur	Olafsdottir2020asthma	5e-8	FALSE	0.8758802902152035	-2.711671110321089e-4	0.0014811929380599332	0.8551868466297797
ewCP4n	Y8Ob9O	covidhgi2020A2v6alleur	Allen2020ipf	5e-8	FALSE	0.9694120706084148	0.07390820938118545	0.03129195458904143	0.034453457968558435
ewCP4n	Y8Ob9O	covidhgi2020A2v6alleur	Allen2020ipf	5e-8	TRUE	0.4110321803654855	0.028397053375983007	0.02995510560268332	0.3747055919027203
tSNDHy	EaAqP2	covidhgi2020B2v6alleur	Allen2020ipf	5e-8	FALSE	0.9710735232776796	0.043561361721415774	0.018561838073985683	0.035435224672811225
tSNDHy	EaAqP2	covidhgi2020B2v6alleur	Allen2020ipf	5e-8	TRUE	0.6418828689598967	-0.02644340360586758	0.01869452056021511	0.20011931320644727
gyhak3	hmW2jI	covidhgi2020C2v6alleur	Allen2020ipf	5e-8	FALSE	0.9717754541587981	0.007712210126161745	0.004189160546185754	0.08855266283656617
gyhak3	hmW2jI	covidhgi2020C2v6alleur	Allen2020ipf	5e-8	TRUE	0.5689228526047039	0.005798257664342108	0.008823996874659486	0.5246261070858588
PZitGA	DngVQf	covidhgi2020A2v6alleur	Linner2019risk	5e-8	FALSE	0.4646117430526745	0.036159768071271116	0.024370702774833466	0.1508932584117691
PZitGA	DngVQf	covidhgi2020A2v6alleur	Linner2019risk	5e-8	TRUE	0.47694668341155005	0.027742371839935685	0.02097546540435424	0.19896621398530182
F1h6Ns	u1tf0o	covidhgi2020B2v6alleur	Linner2019risk	5e-8	FALSE	0.35170112978434404	0.03684433280320061	0.014586928591434069	0.018553107273497342
eJHU9J	tfIq5V	covidhgi2020C2v6alleur	Linner2019risk	5e-8	FALSE	0.2832858813946592	0.0032421756248350573	0.004623328571346184	0.4898824705884919
dkQHe5	QaNlZG	covidhgi2020A2v6alleur	Demontis2018adhd	5e-8	FALSE	0	-0.013576541946029454	0.06138175639969326	0.8312641205014084
pqkNGg	aTO52p	covidhgi2020B2v6alleur	Demontis2018adhd	5e-8	FALSE	0	-0.00827405272016614	0.04327846568990315	0.8538102073014397
pqkNGg	aTO52p	covidhgi2020B2v6alleur	Demontis2018adhd	5e-8	TRUE	0	-0.0034617645643558333	0.023842658163015226	0.8902306619144482
rgYMbW	9NFQyL	covidhgi2020C2v6alleur	Demontis2018adhd	5e-8	FALSE	0	0.002013594110423533	0.0080790372268279	0.8103327040369455
nlA2tj	mUWzIk	covidhgi2020A2v6alleur	Grove2019asd	5e-6	FALSE	0	-0.014767734276161976	0.014711872081309935	0.3227804915221123
uOeDIY	FiY7sb	covidhgi2020B2v6alleur	Grove2019asd	5e-6	FALSE	0	-0.002177200732152862	0.007595166196993837	0.7761152847946151
ECPNBq	wXCdQC	covidhgi2020C2v6alleur	Grove2019asd	5e-6	FALSE	0	0.0011675680395622718	0.0027666700746707858	0.6757529850979386
