id.exposure	id.outcome	outcome	exposure	pt	method	nsnp	outliers_removed	b	sd	t.stat	pval
ksvfhB	7tIlCC	covidhgi2020B2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	43	Outlier-corrected	-0.019993406115903854	0.02050527731231723	-0.9750370995418871	0.3351245180453164
qqeCrj	1Z4N9G	covidhgi2020C2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	44	Raw	-0.01823690666785909	0.008691070891458876	-2.0983497771006974	0.041785378063652685
qqeCrj	1Z4N9G	covidhgi2020C2v5alleurLeaveUKBB	Okada2014rartis	5e-8	MR-PRESSO	44	Outlier-corrected	NA	NA	NA	NA
b3i1Ee	4n5Kfx	covidhgi2020A2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	19	Raw	0.07431951749485732	0.05494391553301768	1.3526432685744099	0.1929183715930376
b3i1Ee	4n5Kfx	covidhgi2020A2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	19	Outlier-corrected	NA	NA	NA	NA
9B4YZs	ZOiUYQ	covidhgi2020B2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	19	Raw	0.13589651845665798	0.04362917415121918	3.1148084074577986	0.005982288939099629
9B4YZs	ZOiUYQ	covidhgi2020B2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	19	Outlier-corrected	NA	NA	NA	NA
7zDDGl	pPcDJZ	covidhgi2020C2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	19	Raw	0.04631007947074884	0.023474613715245472	1.9727728018234858	0.0640814070770911
7zDDGl	pPcDJZ	covidhgi2020C2v5alleurLeaveUKBB	Nalls2019pd	5e-8	MR-PRESSO	18	Outlier-corrected	0.03707955252393303	0.021026487437388337	1.7634687027182614	0.09578489439241435
OeaYXU	FndRrq	covidhgi2020A2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Raw	-0.14579472889788989	0.15368569428974732	-0.9486551729598175	0.3863585213778812
OeaYXU	FndRrq	covidhgi2020A2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Outlier-corrected	NA	NA	NA	NA
awTaSX	dSPItR	covidhgi2020B2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Raw	-0.1546178825359901	0.0702841037843279	-2.1998983299331356	0.07910402561409546
awTaSX	dSPItR	covidhgi2020B2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Outlier-corrected	NA	NA	NA	NA
tuNRcH	hDGVNx	covidhgi2020C2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Raw	-0.10055588204950791	0.04901163175356986	-2.0516738262276633	0.09543925137458845
tuNRcH	hDGVNx	covidhgi2020C2v5alleurLeaveUKBB	Nicolas2018als	5e-8	MR-PRESSO	6	Outlier-corrected	NA	NA	NA	NA
WGI8NL	X8Y30z	covidhgi2020A2v5alleurLeaveUKBB	Ligthart2018crp	5e-8	MR-PRESSO	47	Raw	0.06430080631668875	0.09627895579743423	0.6678594069089636	0.5075605018836447
WGI8NL	X8Y30z	covidhgi2020A2v5alleurLeaveUKBB	Ligthart2018crp	5e-8	MR-PRESSO	46	Outlier-corrected	0.03468239242672813	0.07967238290965244	0.43531260344073763	0.6654163839605259
Qu1kwN	FPYQ1X	covidhgi2020B2v5alleurLeaveUKBB	Ligthart2018crp	5e-8	MR-PRESSO	46	Raw	0.06345863905402453	0.08032616795905057	0.7900120305300146	0.43366418528919726
Qu1kwN	FPYQ1X	covidhgi2020B2v5alleurLeaveUKBB	Ligthart2018crp	5e-8	MR-PRESSO	45	Outlier-corrected	0.03740733998629858	0.06317739921337363	0.5921000302649377	0.5568141242305746
ZHXtl1	DOjzzM	covidhgi2020C2v5alleurLeaveUKBB	Ligthart2018crp	5e-8	MR-PRESSO	47	Raw	0.04904179458302984	0.04807218897062951	1.0201697828445617	0.31298354264419687
